Case_ID,Date_Reported,Region,Country,Pollutant_Type,Total_Concentration_mg_kg,Bioavailable_Concentration_mg_kg,Soil_pH,Soil_Texture,Soil_Organic_Matter_%,CEC_meq_100g,Temperature_C,Humidity_%,Rainfall_mm,Crop_Type,Farming_Practice,Nearby_Industry,Distance_from_Source_km,Years_Since_Contamination,Water_Source_Type,Disease_Type,Disease_Severity,Health_Symptoms,Age_Group_Affected,Gender_Most_Affected,Mitigation_Measure,Case_Resolved,Follow_Up_Required
CASE_100439,8/21/2024,North America,Mexico,Arsenic,8.13,0.14,8.13,Clay,6.41,30,2,61.4,795.2,Wheat,Integrated,None,0,0,Well,None Detected,None,None,Elderly,Both,Community Awareness,No,Yes
CASE_100440,8/27/2023,Africa,Kenya,Cadmium,37.31,1.46,5.38,Clay,5.4,30,20.9,42.2,472.2,Wheat,Permaculture,Mining,1.7,35,River,Respiratory Issues,Mild,Joint Pain,Adults,Both,Community Awareness,Yes,No
CASE_100441,7/21/2023,Europe,Romania,Cadmium,102.44,49.95,4.39,Sandy,2.85,4,20.5,82.1,280.2,Potato,Integrated,Battery,0.07,24,Lake,Kidney Disease,Severe,Bone Pain,Adults,Both,Chemical Neutralization,No,Yes
CASE_100442,5/21/2025,North America,Canada,Lead,125.5,8.1,6.68,Clay,2.75,30,34,33.3,922.1,Wheat,Organic,Smelting,7.6,28,River,Anemia,Mild,Headache,Children,Both,None,No,Yes
CASE_100443,3/6/2024,Asia,Vietnam,Cadmium,7.58,0.21,4,Clay,7.62,30,24.3,80.7,1903.5,Barley,Organic,Agriculture,1.07,18,River,Cancer,Mild,Breathing Difficulty,Children,Both,Government Regulation,Yes,No
CASE_100444,4/8/2024,North America,Mexico,Cadmium,8.9,2.7,6,Sandy,2,4,13.4,36.2,642.6,Corn,Integrated,Agriculture,0.98,15,Lake,Cancer,Moderate,Fatigue,Elderly,Both,Crop Rotation,No,Yes
CASE_100445,6/9/2023,North America,USA,Mercury,28.66,10.22,5.83,Sandy,1.38,4,19.4,81.9,831.5,Cotton,Permaculture,Chemical,0.62,16,Well,Kidney Disease,Severe,Vision Problems,Adults,Female,Government Regulation,No,Yes
CASE_100446,11/10/2023,Africa,Ethiopia,Cadmium,7.28,0.26,8.47,Silty,2.49,16,27.9,33.9,45.2,Corn,Conventional,Agriculture,1.11,8,River,Cancer,Mild,Bone Pain,Adults,Female,Chemical Neutralization,Yes,No
CASE_100447,11/8/2024,North America,Mexico,Lead,41.14,1.08,7.3,Silty,4.22,16,18.3,37,866.5,Cotton,Integrated,None,0,0,Irrigation Canal,None Detected,None,None,Adults,Male,None,No,Yes
CASE_100448,12/23/2022,Asia,Pakistan,Cadmium,56.29,7.21,5.72,Silty,1.73,16,25.5,56.2,796.4,Potato,Conventional,E-waste,0.33,21,Irrigation Canal,Respiratory Issues,Severe,Bone Pain,Elderly,Male,Soil Remediation,No,Yes
CASE_100449,2/23/2025,Africa,South Africa,Cadmium,8.2,1.67,5.03,Silty,1.82,16,27.6,85.9,969.4,Corn,Organic,Agriculture,0.49,27,River,Kidney Disease,Moderate,Protein in Urine,Elderly,Female,Soil Remediation,Yes,Yes
CASE_100450,8/11/2024,Asia,Thailand,Chromium,859.69,176.94,5.14,Loamy,2.26,12,9.9,58.9,529.4,Potato,Organic,Tannery,0.45,24,River,Skin Disease,Moderate,Skin Ulcers,Adults,Male,Chemical Neutralization,Yes,Yes
CASE_100451,4/3/2023,Africa,Kenya,Arsenic,90.59,6.4,4.09,Clay,2.03,30,30.7,50.8,298.9,Wheat,Conventional,Smelting,1.97,6,Well,Diabetes,Mild,Skin Lesions,Adults,Male,Soil Remediation,Yes,Yes
CASE_100452,4/29/2024,Asia,Japan,Lead,527.7,74.78,7.73,Sandy,1.29,4,14.5,27.3,399.1,Wheat,Organic,Mining,1.72,20,Irrigation Canal,Kidney Disease,Moderate,Abdominal Pain,Elderly,Male,Soil Remediation,Yes,Yes
CASE_100453,12/2/2024,South America,Chile,Mercury,10.94,0.14,7.05,Loamy,5.65,12,16.2,46.2,982.4,Wheat,Conventional,Battery,0.16,33,Irrigation Canal,Developmental Disorder,Mild,Memory Loss,Adults,Both,Chemical Neutralization,No,Yes
CASE_100454,10/3/2023,South America,Brazil,Cadmium,0.55,0.19,6.25,Sandy,1.06,4,21.4,93.4,380.9,Barley,Integrated,None,0,0,Borehole,None Detected,None,None,Elderly,Both,Soil Remediation,Yes,No
CASE_100455,4/7/2024,North America,USA,Cadmium,78.33,25.64,5.71,Sandy,1.95,4,28.1,85,259.6,Wheat,Permaculture,E-waste,0.18,27,Well,Bone Disease,Severe,Protein in Urine,Elderly,Female,Government Regulation,No,Yes
CASE_100456,4/2/2024,South America,Venezuela,Lead,499.5,5.44,6.7,Clay,7.98,30,32,49.7,333,Vegetables,Integrated,Mining,1.03,21,Rainwater,Anemia,Mild,Cognitive Impairment,Adults,Male,Community Awareness,No,Yes
CASE_100457,1/29/2025,North America,USA,Arsenic,19.24,1.11,4.26,Clay,2.95,30,30.8,88,1191.5,Corn,Conventional,None,0,0,Borehole,Skin Disease,Mild,Weakness,Adults,Female,Community Awareness,Yes,Yes
CASE_100458,1/31/2023,North America,Canada,Cadmium,6.5,0.81,4.85,Loamy,4.17,12,5.7,55.4,753.5,Potato,Organic,Agriculture,1.43,7,Lake,Cancer,Mild,Fatigue,Children,Male,None,No,Yes
CASE_100459,2/20/2023,Africa,Tanzania,Arsenic,41.26,3.34,5.39,Silty,3.1,16,27.6,39.6,1133.9,Vegetables,Permaculture,Agriculture,0.46,38,Irrigation Canal,Cancer,Mild,Weakness,Adults,Male,Soil Remediation,No,Yes
CASE_100460,1/19/2024,North America,USA,Cadmium,4.8,2.65,5.5,Sandy,1.15,4,21,58.5,488.2,Rice,Conventional,Agriculture,2.18,9,Rainwater,Kidney Disease,Moderate,Bone Pain,Elderly,Female,Community Awareness,No,Yes
CASE_100461,10/13/2025,Europe,Italy,Arsenic,22.26,9.32,6.47,Sandy,0.56,4,33,33.1,671.6,Barley,Organic,Agriculture,2.43,7,Lake,Diabetes,Moderate,Weakness,Elderly,Both,Phytoremediation,No,Yes
CASE_100462,3/8/2024,Asia,Vietnam,Mercury,0.17,0.05,6.43,Sandy,1.88,4,25.9,87.2,432.8,Barley,Integrated,None,0,0,Rainwater,None Detected,None,None,Children,Male,Community Awareness,No,Yes
CASE_100463,9/9/2023,Australia,Australia,Chromium,302.63,16.78,6.36,Silty,4.19,16,22.2,76.2,1395.6,Wheat,Permaculture,Chemical,0.43,9,Borehole,Cancer,Mild,Nasal Irritation,Elderly,Both,None,Yes,Yes
CASE_100464,10/1/2023,Africa,Egypt,Arsenic,36.75,2.22,5.38,Silty,4,16,22.1,66.2,397.9,Rice,Conventional,Agriculture,0.43,25,River,Cardiovascular Disease,Mild,Nausea,Adults,Male,None,No,Yes
CASE_100465,7/7/2025,Asia,Vietnam,Chromium,1189.23,133.24,4.47,Clay,3.7,30,37.5,21,1316.3,Rice,Organic,Tannery,0.12,23,Well,Kidney Disease,Moderate,Rash,Children,Male,Crop Rotation,No,Yes
CASE_100466,9/11/2023,Africa,Nigeria,Chromium,1362.77,31.56,7.34,Silty,4.48,16,42.3,94.8,1164.2,Vegetables,Permaculture,Tannery,0.36,2,Lake,Cancer,Mild,Rash,Children,Male,Phytoremediation,No,Yes
CASE_100467,11/5/2023,Africa,Ghana,Cadmium,28.32,10.4,5.97,Sandy,1.05,4,39.4,57.5,1109.9,Potato,Permaculture,Mining,0.54,32,Irrigation Canal,Respiratory Issues,Severe,Bone Pain,Elderly,Both,Chemical Neutralization,No,Yes
CASE_100468,12/30/2023,North America,USA,Arsenic,254.96,4.48,4.42,Loamy,5.89,12,32.7,42.8,981.9,Cotton,Conventional,Chemical,1.43,5,Borehole,Diabetes,Mild,Hyperpigmentation,Elderly,Both,Crop Rotation,Yes,Yes
CASE_100469,8/18/2023,Africa,Nigeria,Arsenic,28.11,0.36,5.92,Clay,6.38,30,13.3,57.8,674.6,Wheat,Integrated,Agriculture,1.47,34,Irrigation Canal,Diabetes,Mild,Nausea,Adults,Female,Chemical Neutralization,No,Yes
CASE_100470,6/14/2023,Africa,Ghana,Lead,2027.37,449.48,4.66,Loamy,2.39,12,41.4,47.8,1201.5,Corn,Permaculture,E-waste,0.66,36,Well,Developmental Disorder,Severe,Abdominal Pain,Adults,Both,Government Regulation,No,Yes
CASE_100471,7/28/2023,South America,Venezuela,Arsenic,26.57,2.74,6.57,Loamy,3.2,12,7.5,56.5,309,Barley,Organic,Agriculture,0.99,34,River,Cardiovascular Disease,Mild,Weakness,Children,Female,Phytoremediation,Yes,Yes
CASE_100472,7/8/2023,Africa,Tanzania,Chromium,1483.47,45.96,6.13,Silty,5.36,16,10.9,71.8,1434,Wheat,Organic,Tannery,0.24,11,River,Respiratory Issues,Mild,Breathing Difficulty,Children,Female,Government Regulation,No,Yes
CASE_100473,3/18/2024,Australia,Australia,Lead,262.19,43.41,4.11,Loamy,3.8,12,17.5,80.2,1333.7,Cotton,Organic,Smelting,2.4,18,River,Developmental Disorder,Moderate,Headache,Elderly,Male,Soil Remediation,No,Yes
CASE_100474,12/9/2022,Asia,Vietnam,Mercury,0.26,0.03,7.39,Sandy,2.38,4,42.8,43.5,1724.1,Corn,Organic,None,0,0,Well,None Detected,None,None,Adults,Male,Community Awareness,No,Yes
CASE_100475,7/23/2024,Africa,Egypt,Chromium,62.3,13.92,4.94,Loamy,2.09,12,34.7,70.8,602.8,Potato,Integrated,None,0,0,Irrigation Canal,None Detected,None,None,Elderly,Both,Crop Rotation,No,Yes
CASE_100476,2/9/2024,North America,USA,Arsenic,76.36,8.57,7.57,Loamy,3.23,12,29.3,61.2,389.2,Barley,Permaculture,Mining,1.98,12,Lake,Skin Disease,Moderate,Weakness,Elderly,Both,Phytoremediation,Yes,Yes
CASE_100477,9/8/2025,South America,Peru,Mercury,31.34,1.17,5.71,Silty,5.23,16,33.4,27.9,1038.9,Potato,Permaculture,Chemical,0.34,16,Borehole,Kidney Disease,Severe,Tremors,Children,Both,Government Regulation,No,Yes
CASE_100478,3/12/2024,Australia,Australia,Arsenic,32.24,2.51,5.63,Silty,3.34,16,6.9,92.1,1115,Potato,Conventional,Agriculture,1.7,16,Irrigation Canal,Diabetes,Mild,Weakness,Children,Male,Government Regulation,No,Yes
CASE_100479,1/7/2024,Asia,Bangladesh,Chromium,1426.75,143.76,4.83,Clay,3.79,30,20.7,30.4,70.9,Vegetables,Conventional,Tannery,0.42,11,Borehole,Cancer,Moderate,Nasal Irritation,Children,Both,Government Regulation,No,Yes
CASE_100480,5/25/2023,Australia,New Zealand,Cadmium,0.52,0.15,6.62,Sandy,1.42,4,18.8,59,828.8,Wheat,Integrated,None,0,0,Rainwater,Respiratory Issues,Mild,Protein in Urine,Elderly,Both,Soil Remediation,Yes,Yes
CASE_100481,5/9/2023,Australia,Australia,Arsenic,110.91,2.79,8.5,Silty,5.92,16,7.9,69.7,1014.4,Wheat,Organic,Mining,0.79,13,River,Cancer,Mild,Nausea,Elderly,Both,Government Regulation,No,Yes
CASE_100482,8/16/2024,North America,Mexico,Arsenic,117.81,10.45,6.95,Silty,3.39,16,9,76.4,712.9,Soybean,Conventional,Mining,1.22,12,Rainwater,Cancer,Moderate,Weakness,Adults,Female,Community Awareness,No,Yes
CASE_100483,6/24/2023,Asia,China,Lead,34.85,1.59,7.27,Loamy,2.94,12,44.8,52.6,1845.3,Barley,Organic,None,0,0,Lake,None Detected,None,None,Adults,Female,Community Awareness,No,Yes
CASE_100484,3/21/2025,South America,Chile,Cadmium,19.87,3.95,5.49,Loamy,2.04,12,34,89.7,630.5,Wheat,Conventional,Mining,1.67,24,Borehole,Cancer,Severe,Protein in Urine,Elderly,Both,Chemical Neutralization,No,Yes
CASE_100485,10/27/2024,Europe,UK,Arsenic,22.4,1.39,6.66,Silty,4.3,16,3.9,22.7,1194.3,Barley,Permaculture,Smelting,7.69,18,River,Cancer,Mild,Nausea,Adults,Male,None,No,Yes
CASE_100486,4/25/2023,North America,USA,Arsenic,285.78,70.96,5.58,Sandy,2.65,4,0.3,78.4,660.7,Cotton,Organic,Chemical,1.52,10,River,Cancer,Severe,Numbness,Adults,Both,Government Regulation,No,Yes
CASE_100487,1/7/2024,Asia,China,Chromium,153.75,2.15,5.68,Clay,7.15,30,33.3,45.9,63.6,Soybean,Permaculture,Chemical,0.94,21,Borehole,Kidney Disease,Mild,Skin Ulcers,Adults,Male,Community Awareness,Yes,Yes
CASE_100488,8/26/2025,Europe,Czech Republic,Lead,21.3,6.29,6.52,Sandy,1.51,4,28.7,45.3,1027.5,Cotton,Permaculture,None,0,0,Lake,None Detected,None,None,Elderly,Male,Community Awareness,No,Yes
CASE_100489,8/20/2025,South America,Argentina,Cadmium,26.77,2.2,4.43,Clay,4.5,30,40,87.9,693,Barley,Organic,Smelting,2.51,33,Well,Cancer,Moderate,Bone Pain,Adults,Female,Soil Remediation,No,Yes
CASE_100490,2/16/2023,Europe,Czech Republic,Arsenic,6.6,0.66,6.92,Silty,2.99,16,33.4,24.5,497.7,Vegetables,Integrated,None,0,0,Lake,Cardiovascular Disease,Mild,Nausea,Elderly,Female,Government Regulation,Yes,No
CASE_100491,8/27/2025,Europe,Czech Republic,Lead,403.76,125.88,6.78,Sandy,0.81,4,31.8,34.3,1021.3,Corn,Conventional,Mining,1.62,10,Rainwater,Developmental Disorder,Severe,Cognitive Impairment,Children,Male,Chemical Neutralization,No,Yes
CASE_100492,11/14/2024,North America,Canada,Mercury,0.09,0,5.7,Clay,5.27,30,33.4,38.5,1059.6,Barley,Conventional,None,0,0,Borehole,None Detected,None,None,Elderly,Male,Chemical Neutralization,No,Yes
CASE_100493,3/14/2025,Europe,Italy,Cadmium,4.95,0.49,6.35,Loamy,2.78,12,13.2,49.5,744.6,Corn,Permaculture,Agriculture,1.63,38,Well,Cancer,Mild,Fatigue,Children,Female,Soil Remediation,No,Yes
CASE_100494,8/21/2025,North America,Canada,Cadmium,6.53,0.36,6.96,Silty,3.77,16,25.9,68.4,355.8,Rice,Conventional,Agriculture,1.98,7,Rainwater,Cancer,Mild,Protein in Urine,Elderly,Both,Phytoremediation,Yes,No
CASE_100495,5/13/2025,Australia,New Zealand,Chromium,1175,236.41,5.19,Loamy,2.31,12,42.9,30.6,460.5,Cotton,Integrated,Tannery,0.14,37,Well,Skin Disease,Severe,Rash,Elderly,Both,Chemical Neutralization,No,Yes
CASE_100496,6/17/2023,North America,Canada,Lead,342.16,100,6.66,Sandy,1.36,4,6.7,31,1138.1,Soybean,Organic,Smelting,2.98,26,Rainwater,Anemia,Moderate,Fatigue,Adults,Male,Phytoremediation,No,Yes
CASE_100497,5/18/2025,Australia,New Zealand,Arsenic,10.02,1.57,7.38,Loamy,1.81,12,17.5,67.7,727.1,Potato,Organic,None,0,0,Rainwater,Diabetes,Mild,Weakness,Adults,Female,Community Awareness,No,Yes
CASE_100498,4/5/2023,North America,Canada,Cadmium,5.14,0.31,6.84,Clay,2.79,30,8.3,42.5,842.8,Rice,Integrated,Agriculture,1.15,28,Rainwater,Bone Disease,Mild,Bone Pain,Elderly,Female,Community Awareness,Yes,No
CASE_100499,8/18/2025,North America,USA,Arsenic,17.36,1.06,7.95,Clay,4.18,30,7.1,55.2,1000.9,Corn,Organic,None,0,0,Borehole,Cancer,Mild,Nausea,Adults,Female,Phytoremediation,Yes,Yes
CASE_100500,4/16/2023,South America,Brazil,Cadmium,53.44,26.15,5.09,Sandy,2.23,4,7.2,65.7,440.8,Cotton,Integrated,E-waste,0.27,27,Lake,Kidney Disease,Severe,Joint Pain,Elderly,Male,Soil Remediation,No,Yes
CASE_100501,5/25/2024,Europe,France,Lead,23.67,9.24,5.85,Sandy,0.87,4,3.1,88.3,206,Vegetables,Integrated,None,0,0,Lake,None Detected,None,None,Adults,Both,Government Regulation,No,Yes
CASE_100502,3/17/2023,Africa,Tanzania,Cadmium,0.34,0.03,6,Loamy,3.68,12,17.3,89.5,494,Cotton,Conventional,None,0,0,Rainwater,None Detected,None,None,Elderly,Female,Soil Remediation,Yes,Yes
CASE_100503,4/3/2025,North America,Mexico,Arsenic,373.86,21.77,4.39,Clay,3,30,11.5,47.9,959.8,Potato,Permaculture,Chemical,0.56,39,Borehole,Cancer,Severe,Hyperpigmentation,Children,Male,Soil Remediation,No,Yes
CASE_100504,1/19/2025,Asia,Bangladesh,Mercury,0.29,0.03,6.36,Loamy,3.02,12,34.5,64.8,1767.7,Corn,Organic,None,0,0,Rainwater,Developmental Disorder,Mild,Memory Loss,Elderly,Male,Phytoremediation,No,Yes
CASE_100505,9/8/2023,North America,Canada,Cadmium,36.02,1.51,4.84,Loamy,5.83,12,17.1,46.4,1109.5,Barley,Permaculture,Mining,0.64,11,Rainwater,Cancer,Moderate,Joint Pain,Children,Male,Chemical Neutralization,No,Yes
CASE_100506,8/1/2024,Asia,South Korea,Arsenic,166.85,7.32,6.78,Clay,4.6,30,19.5,79.5,1884.9,Cotton,Conventional,Mining,0.86,28,Rainwater,Diabetes,Mild,Nausea,Adults,Both,Crop Rotation,No,Yes
CASE_100507,6/9/2023,Australia,Australia,Mercury,13.46,1.19,5.64,Silty,3.31,16,23,76.2,728.4,Vegetables,Permaculture,E-waste,0.4,28,Well,Developmental Disorder,Severe,Coordination Problems,Children,Female,Government Regulation,No,Yes
CASE_100508,4/4/2023,Asia,Pakistan,Chromium,1065.83,126.29,4.91,Clay,3.22,30,34.9,56.2,471.3,Barley,Organic,Tannery,0.2,13,River,Kidney Disease,Moderate,Rash,Children,Both,Crop Rotation,No,Yes
CASE_100509,10/6/2024,Europe,Italy,Arsenic,28.56,2.3,8.17,Clay,3.51,30,4.3,35.4,200.9,Barley,Organic,Agriculture,1.04,25,Irrigation Canal,Cardiovascular Disease,Mild,Skin Lesions,Children,Both,Government Regulation,Yes,Yes
CASE_100510,11/26/2024,Europe,Czech Republic,Arsenic,124.31,10.04,6.92,Clay,2.92,30,21,74.8,969.7,Soybean,Organic,Mining,1.75,27,Irrigation Canal,Skin Disease,Moderate,Numbness,Children,Female,Phytoremediation,Yes,Yes
CASE_100511,11/22/2023,South America,Brazil,Mercury,0.22,0.02,6.26,Silty,3.04,16,7.7,87.3,319.4,Wheat,Organic,None,0,0,Well,None Detected,None,None,Adults,Female,None,No,Yes
CASE_100512,8/25/2025,Asia,Indonesia,Arsenic,70.34,26.54,7.43,Sandy,1.68,4,18.6,85.2,221.9,Rice,Permaculture,Smelting,3.44,10,Rainwater,Skin Disease,Severe,Nausea,Children,Both,Soil Remediation,No,Yes
CASE_100513,1/3/2024,South America,Brazil,Cadmium,24.32,1.56,6.72,Loamy,3.91,12,12.9,35.9,241.5,Corn,Integrated,Smelting,3.64,8,Borehole,Cancer,Mild,Fatigue,Adults,Male,Crop Rotation,No,Yes
CASE_100514,7/23/2023,Europe,Poland,Mercury,0.2,0.01,5.75,Clay,3.93,30,30,70,635.4,Rice,Organic,None,0,0,Rainwater,None Detected,None,None,Children,Male,Phytoremediation,No,Yes
CASE_100515,5/29/2025,Africa,Ethiopia,Cadmium,6.93,0.42,5.59,Clay,3.82,30,27.6,65,499.5,Vegetables,Permaculture,Agriculture,1.05,10,Rainwater,Respiratory Issues,Mild,Fatigue,Adults,Female,Chemical Neutralization,Yes,Yes
CASE_100516,8/18/2023,Africa,South Africa,Mercury,26.43,0.38,5.57,Clay,7.54,30,28.7,34.4,1100,Rice,Organic,Chemical,0.86,11,Irrigation Canal,Developmental Disorder,Moderate,Vision Problems,Children,Female,Government Regulation,No,Yes
CASE_100517,12/12/2023,Australia,New Zealand,Cadmium,7.3,0.68,6.44,Silty,2.39,16,12.4,26.4,267.4,Corn,Permaculture,Agriculture,1.55,21,Rainwater,Bone Disease,Mild,Joint Pain,Elderly,Both,None,No,Yes
CASE_100518,2/18/2024,Australia,New Zealand,Cadmium,10.46,3.83,5.73,Sandy,1.37,4,41.9,57.7,693.5,Vegetables,Organic,Agriculture,0.4,20,Irrigation Canal,Respiratory Issues,Severe,Bone Pain,Elderly,Male,Government Regulation,No,Yes
CASE_100519,7/19/2025,South America,Chile,Cadmium,10.14,3.42,6.56,Sandy,0.71,4,25.7,66.1,436.6,Cotton,Organic,Agriculture,0.61,11,Lake,Cancer,Severe,Joint Pain,Elderly,Male,Government Regulation,No,Yes
CASE_100520,11/22/2022,Africa,South Africa,Cadmium,8.69,3.42,5.71,Sandy,0.99,4,35.7,24.6,350.3,Wheat,Permaculture,Agriculture,0.07,23,Lake,Kidney Disease,Severe,Protein in Urine,Elderly,Female,Soil Remediation,No,Yes
CASE_100521,5/2/2025,South America,Argentina,Mercury,14.86,2.83,5.04,Loamy,2.68,12,6.6,53.7,777.6,Vegetables,Organic,Battery,0.18,19,Well,Developmental Disorder,Severe,Memory Loss,Children,Female,Chemical Neutralization,No,Yes
CASE_100522,12/7/2022,Europe,Romania,Lead,16.5,10.35,4.83,Sandy,1.29,4,12.8,27.5,966.6,Rice,Permaculture,None,0,0,River,None Detected,None,None,Children,Female,Crop Rotation,No,Yes
CASE_100523,4/26/2023,North America,Mexico,Mercury,12.02,0.3,7.22,Silty,4.34,16,16.9,76.8,481.9,Barley,Permaculture,E-waste,0.24,26,Rainwater,Kidney Disease,Mild,Mood Changes,Adults,Male,Chemical Neutralization,Yes,No
CASE_100524,8/28/2025,Europe,Poland,Cadmium,4.56,0.1,6.68,Clay,5.28,30,12,83.9,759.2,Corn,Integrated,Agriculture,1.83,30,Well,Cancer,Mild,Fatigue,Elderly,Male,Phytoremediation,No,Yes
CASE_100525,4/17/2024,South America,Argentina,Arsenic,85.4,10.69,6.59,Silty,1.86,16,42.3,63.2,326.1,Cotton,Permaculture,Mining,3.13,20,Well,Cancer,Moderate,Nausea,Children,Female,Soil Remediation,No,Yes
CASE_100526,12/28/2023,Europe,France,Lead,45.49,0.79,7.82,Clay,4.44,30,22.7,87.4,823.5,Wheat,Integrated,None,0,0,Well,None Detected,None,None,Elderly,Both,Phytoremediation,No,Yes
CASE_100527,9/17/2023,North America,Canada,Cadmium,0.48,0.05,6.9,Loamy,2.09,12,7.1,88.2,960.4,Barley,Permaculture,None,0,0,Borehole,None Detected,None,None,Adults,Both,Phytoremediation,Yes,No
CASE_100528,8/2/2025,Europe,Romania,Chromium,863.41,32.75,4.27,Clay,5.7,30,11.4,55.1,348,Wheat,Organic,Tannery,0.07,3,River,Kidney Disease,Mild,Rash,Children,Both,Soil Remediation,Yes,Yes
CASE_100529,8/19/2023,South America,Colombia,Lead,271.8,76.81,5.89,Sandy,2.42,4,27.6,21.6,234.4,Corn,Conventional,Smelting,3.33,31,Borehole,Kidney Disease,Moderate,Memory Loss,Adults,Female,Soil Remediation,No,Yes
CASE_100530,4/29/2025,South America,Brazil,Arsenic,283.77,24.17,6.19,Silty,3.25,16,10.3,90.2,951.4,Corn,Permaculture,Chemical,1.46,2,Well,Cardiovascular Disease,Moderate,Weakness,Elderly,Female,Soil Remediation,Yes,Yes
CASE_100531,9/24/2025,South America,Argentina,Chromium,1048.96,85.65,6.64,Silty,2.74,16,33,77.4,1129.4,Corn,Integrated,Tannery,0.4,12,Rainwater,Respiratory Issues,Moderate,Skin Ulcers,Elderly,Both,Phytoremediation,Yes,Yes
CASE_100532,7/22/2024,Australia,Australia,Chromium,1605.01,297.06,4.3,Silty,2.87,16,30.7,73.8,1471.9,Potato,Integrated,Tannery,0.42,7,Borehole,Skin Disease,Moderate,Dermatitis,Children,Male,Community Awareness,No,Yes
CASE_100533,7/28/2024,North America,Mexico,Arsenic,41.11,18.4,7.72,Sandy,0.95,4,7.7,44.5,956.2,Rice,Integrated,Agriculture,0.87,25,Rainwater,Diabetes,Moderate,Skin Lesions,Elderly,Female,Soil Remediation,No,Yes
CASE_100534,10/16/2023,Asia,Japan,Lead,1490.87,562.37,5.96,Sandy,0.92,4,21,24.3,1187.4,Corn,Integrated,E-waste,0.69,38,River,Neurological Disorder,Severe,Memory Loss,Children,Male,Soil Remediation,No,Yes
CASE_100535,5/8/2024,South America,Argentina,Arsenic,41.98,1.58,5.1,Clay,4.52,30,21.4,57.8,207.4,Rice,Conventional,Agriculture,0.2,35,Rainwater,Cardiovascular Disease,Mild,Hyperpigmentation,Elderly,Male,Soil Remediation,No,Yes
CASE_100536,4/25/2024,South America,Chile,Arsenic,10.52,1.04,7.27,Clay,2.23,30,44.2,51.6,701.9,Soybean,Integrated,None,0,0,Well,Skin Disease,Mild,Numbness,Children,Male,Government Regulation,Yes,Yes
CASE_100537,10/17/2025,North America,USA,Arsenic,22.93,0.9,7.97,Silty,5.39,16,16.6,49,1166.7,Barley,Integrated,Agriculture,1.95,21,River,Cardiovascular Disease,Mild,Numbness,Elderly,Male,Government Regulation,No,Yes
CASE_100538,5/22/2023,Australia,Australia,Cadmium,9.04,0.36,6.29,Clay,4.5,30,13.2,82,339,Corn,Permaculture,Agriculture,0.86,1,Irrigation Canal,Cancer,Mild,Protein in Urine,Elderly,Both,Soil Remediation,Yes,Yes
CASE_100539,10/9/2025,Australia,Australia,Cadmium,108.74,8.31,5.88,Silty,3.61,16,17.2,34.5,454.9,Rice,Conventional,Battery,0.08,25,Rainwater,Bone Disease,Severe,Protein in Urine,Adults,Male,Soil Remediation,No,Yes
CASE_100540,10/13/2024,Africa,Ethiopia,Cadmium,0.42,0.01,7.19,Silty,3.62,16,11.6,45,1427.9,Cotton,Organic,None,0,0,River,Kidney Disease,Mild,Breathing Difficulty,Adults,Female,Crop Rotation,Yes,Yes
CASE_100541,10/22/2024,Australia,New Zealand,Lead,616.65,7.08,6.51,Clay,7.35,30,33.4,93.8,360.2,Corn,Conventional,Mining,1.31,18,Irrigation Canal,Neurological Disorder,Mild,Fatigue,Children,Female,Community Awareness,Yes,No
CASE_100542,5/6/2024,Australia,Australia,Chromium,31.06,2.63,6.48,Silty,2.77,16,6.6,21.6,466.9,Rice,Permaculture,None,0,0,Borehole,Skin Disease,Mild,Breathing Difficulty,Elderly,Female,None,No,Yes
CASE_100543,10/16/2024,Asia,Indonesia,Chromium,311.29,217.04,4.93,Sandy,0.57,4,5.4,77.1,1791.9,Soybean,Conventional,Chemical,0.25,24,Borehole,Cancer,Moderate,Breathing Difficulty,Adults,Male,Government Regulation,No,Yes
CASE_100544,3/12/2023,Africa,Nigeria,Cadmium,0.54,0.07,7.48,Sandy,1.69,4,40.5,87,208.1,Vegetables,Conventional,None,0,0,River,None Detected,None,None,Children,Female,Soil Remediation,Yes,Yes
CASE_100545,6/4/2023,North America,USA,Cadmium,5.69,0.05,7.01,Silty,5.81,16,20.3,41.2,479,Wheat,Permaculture,Agriculture,0.54,22,River,Kidney Disease,Mild,Breathing Difficulty,Adults,Both,None,Yes,Yes
CASE_100546,6/18/2023,Asia,Thailand,Cadmium,4.95,1.49,6.69,Sandy,1.15,4,8.5,42.7,1934.8,Vegetables,Integrated,Agriculture,1.73,6,Borehole,Bone Disease,Mild,Fatigue,Children,Female,Soil Remediation,No,Yes
CASE_100547,9/24/2023,Asia,India,Arsenic,14.37,5.89,6.25,Sandy,0.54,4,23,72,1479.7,Vegetables,Permaculture,Agriculture,3.17,36,Well,Diabetes,Mild,Hyperpigmentation,Elderly,Both,None,Yes,No
CASE_100548,10/18/2024,North America,Canada,Arsenic,9.31,2.48,7,Sandy,2.99,4,18.8,60,605.6,Rice,Permaculture,None,0,0,Irrigation Canal,None Detected,None,None,Adults,Male,Soil Remediation,Yes,Yes
CASE_100549,6/10/2023,South America,Argentina,Arsenic,41.85,3.73,8.07,Silty,3.82,16,29.5,47.8,972.2,Barley,Permaculture,Agriculture,0.89,17,River,Cancer,Moderate,Skin Lesions,Children,Male,Chemical Neutralization,No,Yes
